DEVELOPMENT_ID,LATITUDE,LONGITUDE,STATE_NAME
TX078000001,33.644743,-96.609366,TX
TX091000001,33.759522,-96.669616,TX
TX152000001,28.396844,-97.749741,TX
TX275000001,32.937985,-102.568661,TX
TX081000001,29.512728,-97.449635,TX
TX222000001,31.306228,-95.46661,TX
TX094000001,33.5407,-98.563,TX
VA002000005,36.599834,-82.177466,VA
TX311000001,33.657131,-96.914632,TX
VA002000002,36.608019,-82.174381,VA
TX174000001,28.040568,-97.506624,TX
WA010000001,48.516072,-122.610717,WA
ME021000001,44.78876,-68.751985,ME
AL071000001,33.96758,-87.922599,AL
GA006001040,33.751993,-84.376826,GA
LA012101331,30.011012,-90.254916,LA
KY079000001,37.534136,-84.650558,KY
LA038000001,31.123809,-92.057835,LA
ME005000002,44.10047,-70.190627,ME
MN009000001,47.473861,-94.884516,MN
NM001000000,35.113109,-106.657978,NM
NM001000003,35.152718,-106.582743,NM
NE003000001,40.927425,-98.362502,NE
NE010000001,40.776181,-99.734484,NE
NM003000001,32.32695,-106.772305,NM
NY093001001,42.082118,-78.448419,NY
OH010000007,38.791278,-83.017041,OH
OH009000003,39.913136,-82.024128,OH
OH008000001,41.213984,-80.794434999999993,OH
OH010000006,38.730112,-82.845241,OH
OK025000001,34.233777,-95.622131,OK
PA038000032,41.423178,-75.628933,PA
TX052000001,33.5889,-99.256385,TX
TX066000001,34.031031,-98.908983,TX
WA012000001,46.20278,-119.117695,WA
WV004000018,38.413445,-82.428351,WV
GA246000001,34.957625,-85.254561,GA
TX036000001,35.671062,-101.379403,TX
NJ014000068,39.365802,-74.425192,NJ
TX318000001,30.1453,-104.2418,TX
TX196000001,34.1762,-102.1803,TX
AL174000001,32.938576,-85.969199,AL
AR049000001,33.916376,-93.15434,AR
AR092000001,35.756353,-90.326324,AR
AR087000001,33.12682,-91.964316,AR
CT001001059,41.171079,-73.196001,CT
CT004000015,41.312877,-72.896633,CT
CT004000018,41.31725,-72.887857,CT
FL005000830,25.804717,-80.201431,FL
FL005000828,25.825859,-80.200768,FL
FL005000048,25.841081,-80.23202,FL
FL005000825,25.861557,-80.213245,FL
FL005000827,25.833319,-80.221698,FL
FL024000001,29.28517,-81.059027,FL
FL001000019,30.340566,-81.661848,FL
FL080000002,26.704884,-80.13604,FL
FL005000844,25.465848,-80.497288,FL
FL005000840,25.778986,-80.190618,FL
FL005000829,25.833023,-80.237077,FL
FL005000842,25.709001,-80.291063,FL
FL005000846,25.514821,-80.396363,FL
FL005000839,25.77121,-80.222956,FL
GA063000001,31.956726,-83.787977,GA
GA210000001,33.28303,-82.972936,GA
GA063000002,31.975246,-83.774851,GA
KY129000001,39.116688,-84.469378,KY
IA042000001,40.737037,-92.871472,IA
IL018000006,41.511526,-90.571602,IL
KY147000001,37.425903,-83.973988,KY
LA100000001,30.103381,-91.98974,LA
KY122000001,37.406218,-86.872288,KY
LA091000091,30.188713,-92.46391,LA
LA086600001,30.853863,-93.286527,LA
LA102000001,32.80726,-91.169992,LA
MA169000002,41.726495,-71.209055,MA
LA088000001,32.863979,-93.983088,LA
MI083000001,45.744792,-87.053765,MI
LA090000001,29.58566,-90.684287,LA
LA108000001,32.7353,-93.9511,LA
LA098000001,32.542859,-93.048584,LA
MI035000001,42.334836,-85.202282,MI
LA029000007,30.209645,-92.3587,LA
MO001000010,38.659991,-90.241627,MO
MO001000045,38.645716,-90.205704,MO
MO001000056,38.640884,-90.204584,MO
MO001000057,38.639767,-90.225748,MO
MO001000065,38.646167,-90.235871,MO
MT033000002,46.838862,-114.018793,MT
MO001000048,38.619298,-90.204365,MO
MO060000001,37.130823,-92.265948,MO
NC009000004,35.024726,-78.914573,NC
MT033000005,46.863904,-113.97202,MT
NC043000001,35.354593,-79.905525,NC
MO001000061,38.6514,-90.283578,MO
NE053000001,41.63958,-99.374877,NE
MO147000001,40.5277,-92.5269,MO
NE099000001,41.933073,-96.806636,NE
NC012000006,36.113967,-80.230839,NC
NC087000002,36.219214,-77.111734,NC
MT033000001,46.863659,-113.971152,MT
MO189000001,37.110598,-92.415993,MO
NJ049000001,39.421701,-75.226043,NJ
NJ052000001,40.904506,-74.410332,NJ
NE070000001,40.283314,-100.162748,NE
NH001000001,42.969958,-71.466272,NH
NE042000001,41.547779,-98.528051,NE
NJ053000001,39.2742,-74.5829,NJ
NH001000002,42.998575,-71.49122,NH
NJ018000001,40.066978,-74.92349,NJ
NJ061000003,39.394123,-75.041183,NJ
NV018002310,36.176195,-115.090236,NV
NY041000113,43.170428,-77.62763,NY
NV018002407,36.188867,-115.064959,NV
NJ061000004,39.394068,-75.03686,NJ
OH021000023,39.922876,-83.830941,OH
NY045000001,41.921183,-73.982945,NY
OH021000024,39.991972,-83.775418,OH
OK039000001,34.872004,-99.497381,OK
NY045000002,41.941481,-73.992989,NY
OK083000001,35.130303,-96.770903,OK
PA080000003,41.956261,-78.653187,PA
RI007000002,41.82378,-71.360065,RI
PA018000011,40.581867,-79.705404,PA
PA017000001,40.192054,-80.262602,PA
OK087000001,34.972763,-94.718037,OK
PA018000003,40.159288,-79.883588,PA
PA022000007,39.982402,-76.781206,PA
PA043004301,41.20604,-75.999831,PA
PA018000012,40.314966,-79.384854,PA
OK131000001,35.302256,-94.795446,OK
SC025000001,33.831804,-79.071874,SC
PA059000001,41.424987,-79.719846,PA
SC005000001,34.288692,-79.866686,SC
SC027000010,34.137111,-79.933483,SC
TN062000001,35.497479,-85.017575,TN
SC021000001,34.178516,-79.39026,SC
PA059000002,41.421705,-79.684776,PA
TN026000001,35.338224,-84.530176,TN
TX023000014,30.106358,-94.113237,TX
SC021000002,34.173662,-79.385528,SC
PA063000001,41.118196,-78.761579,PA
TN030000001,36.086031,-87.800339,TN
TX135000001,33.0024,-94.3806,TX
TX031000001,30.561962,-97.406374,TX
TX249000001,31.897554,-96.719059,TX
TX031000002,30.573664,-97.407981,TX
TX151000001,34.850936,-100.222527,TX
TX228000001,31.752211,-96.652183,TX
TX260000010,31.214858,-99.841471,TX
TX023000009,30.068298,-94.194386,TX
TX295000001,31.486912,-95.482545,TX
TX201000001,27.229574,-98.142367,TX
TX023000011,30.053182,-94.200094000000007,TX
TX117000001,33.526789,-95.321054,TX
TX298000001,32.828737,-98.111246,TX
TX283000001,31.439451,-97.740953,TX
TX134000001,30.86134,-96.975746,TX
WA003000008,47.593361,-122.642691,WA
VA011000207,37.252302,-79.913018,VA
TX354000001,31.685734,-96.484474,TX
TX284000001,30.3546,-103.6663,TX
WA003000004,47.561412,-122.673439,WA
WA003000005,47.565609,-122.67824,WA
TX334000001,31.194692,-98.735119,TX
WV044000001,39.352681,-78.76058,WV
WA003000006,47.566872,-122.680117,WA
UT006000001,38.27508,-112.634527,UT
WA003000007,47.580784,-122.616651,WA
LA032000007,30.400332,-92.217039,LA
LA113000001,30.70306,-91.430981,LA
OH005000003,39.748674,-84.21596,OH
OH012000004,41.287966,-82.217755,OH
KS113000125,39.505308,-98.427953,KS
TX095000001,32.927614,-96.461466,TX
PA002000138,39.964314,-75.206995,PA
TX164000001,28.097285,-97.828596,TX
IL007000003,37.003705,-89.168541,IL
IL007000002,37.002676,-89.181493,IL
RQ005001002,18.3802,-67.1807,PR
RQ005001004,18.4235,-67.1556,PR
RQ005001005,18.43645,-67.155739,PR
RQ005001006,18.4566,-67.1527,PR
RQ005001008,18.4493,-67.1464,PR
RQ005001010,18.4493,-67.1464,PR
RQ005001007,18.4493,-67.1464,PR
RQ005001015,18.392286,-67.11363,PR
RQ005001016,18.4022,-67.1154,PR
RQ005001017,18.3434,-67.251,PR
