development_id,address,city,cbsa_name,cbsa_code,county_name,county_code,state_name,zipcode,latitude,longitude
MN041000001,202 N 1st St,Marshall,"Marshall, MN Micropolitan Statistical Area",32140,Lyon,83,DE,64108,44.44712,-95.785959
MN158000001,202 Albert Ave NW,Fertile,"Grand Forks, ND-MN Metropolitan Statistical Area",24220,Polk,119,DE,64108,47.537376,-96.282582
MO002000034,1823 Belleview Ave,Kansas City,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Jackson,95,MO,64108,39.70962,-84.7769
MO046000001,202 S Pine St,Marceline,"Dover, DE Metropolitan Statistical Area",99999,Linn,115,MO,64658,39.70962,-92.944033
DE004016,72 Clark St,Harrington,"Dover, DE Metropolitan Statistical Area",20500,Kent,21,DE,64136,36.6446,-86.257335
MN001000008,1085 Montreal Ave,Saint Paul,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Ramsey,123,MN,64136,36.6446,-86.257335
MI076000001,251 Cass St,Niles,"Niles-Benton Harbor, MI Metropolitan Statistical Area",35660,Berrien,21,MI,64136,41.832873,-86.257335
MO047000001,TATUM ST.,Anderson,"Dover, DE Metropolitan Statistical Area",99999,McDonald,119,MO,64831,36.6446,-94.3894
MO002000037,14200 E 49th St,Kansas City,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Jackson,95,MO,64136,36.6446,-86.257335
DE004019,400 N Broad St Apt 24,Middletown,"Wilmington, DE-MD-NJ Metropolitan Division",20500,New Castle,27,DE,64118,36.611398,-87.00815
MN001000009,849 Albemarle St,Saint Paul,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Ramsey,123,MN,64118,36.611398,-87.00815
MI077000001,217 Dakota Ave Apt 111,Gladstone,"Escanaba, MI Micropolitan Statistical Area",21540,Delta,41,MI,64118,45.845719,-87.00815
MN164000001,1358 Hartford St,Hawley,"Fargo, ND-MN Metropolitan Statistical Area",22020,Clay,27,DE,64118,46.879567,-96.330057
MO048000001,207 Park St,Lanagan,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,McDonald,119,MO,64847,36.611398,-94.447705
MN002000001,44 Saint Marys Ave SE,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,64118,36.536518,-86.304529
FL001000014,6750 Ramona Blvd,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",20500,Duval,13,FL,64118,36.536518,-86.304529
MI078000001,100 Park Ave,Manistee,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Manistee,101,MI,64118,44.228854,-86.304529
MN167000001,613 7th St Apt 1,Madison Lake,"Mankato, MN Metropolitan Statistical Area",31860,Blue Earth,13,FL,64118,44.202842,-93.816758
MN046000001,1010 S 4th St,St Peter,"Mankato-North Mankato, MN Metropolitan Statistical Area",31860,Nicollet,103,FL,64118,44.319325,-93.965302
MO049000001,674 Johnson Dr,Noel,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,McDonald,119,MO,64854,36.536518,-94.485108
MN002000002,907 8th Ave N,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,64130,36.597083,-86.326594
FL001000032,1301 N Davis St,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",20500,Duval,13,FL,64130,36.597083,-86.326594
MI078000002,237 6th Ave,Manistee,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Manistee,101,MI,64130,44.248705,-86.326594
MN047000001,516 Main Ave N,Bagley,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Clearwater,29,FL,64130,47.526875,-95.398299
MN167000002,120 Breckenridge Path,Eagle Lake,"Mankato, MN Metropolitan Statistical Area",31860,Blue Earth,13,FL,64130,44.1722,-93.8958
MO050000001,401 W 8th St,Pineville,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,McDonald,119,MO,64856,36.597083,-94.387545
MN002000003,314 Hennepin Ave,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,64118,36.51143,-83.823583
FL001000036,1605 N Myrtle Ave,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",20500,Duval,47,FL,64118,36.51143,-83.823583
MI079000001,643 W Erie St,Rogers City,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Presque Isle,141,MI,64118,45.414715,-83.823583
MN048000001,216 N McKenzie St,Luverne,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Rock,133,FL,64118,43.656071,-96.206299
MO051000001,600 S Broadway St,South West City,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,McDonald,119,MO,64863,36.51143,-94.612411
MN168000001,300 7th St NW,Willmar,"Willmar, MN Micropolitan Statistical Area",48820,Kandiyohi,67,FL,64118,45.123968,-95.052932
MO002000042,505 NW 72nd St,Kansas City,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Clay,47,MO,64118,36.51143,-83.823583
FL001001,3550 Brentwood Ave,Jacksonville,"Jacksonville, FL Metropolitan Statistical Area",20500,Duval,51,FL,64108,37.647286,-85.626298
MN002000004,1815 Central Ave NE,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,64108,37.647286,-85.626298
MI080000001,150 Pine St,Traverse City,"Traverse City, MI Micropolitan Statistical Area",45900,Grand Traverse,55,MI,64108,44.763641,-85.626298
MN049000001,202 2nd Ave SW,Pipestone,"Durham-Chapel Hill, NC Metropolitan Statistical Area",99999,Pipestone,117,FL,64108,43.999372,-96.319336
MN002000005,1707 3rd Ave S,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,64024,39.342893,-83.246874
MI081000001,22065 Huron River Dr Apt 111,Rockwood,"Detroit-Dearborn-Livonia, MI Metropolitan Division",19804,Wayne,163,MI,64024,42.066961,-83.246874
MN052000001,409 Central Dr W,Braham,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Isanti,59,MI,64024,45.725012,-93.17513
MO053000001,320 W Excelsior St,Excelsior Springs,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Clay,47,MO,64024,39.342893,-94.226213
FL001007,933 1st Ave S,Jacksonville Beach,"Jacksonville, FL Metropolitan Statistical Area",17860,Duval,53,FL,64134,38.978559,-86.271394
MN002000006,630 Cedar Ave S,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",33460,Hennepin,53,MN,64134,38.978559,-86.271394
MI082000001,220 Broadway St,South Haven,"Kalamazoo-Portage, MI Metropolitan Statistical Area",28020,Van Buren,159,MI,64134,42.405837,-86.271394
MN053000001,114 N 8th Ave E Ste 111,Ely,"Duluth, MN-WI Metropolitan Statistical Area",20260,St. Louis,137,FL,64134,47.904739,-91.85416
MO002000438,10774 Hillcrest Rd,Kansas City,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Jackson,95,MO,64134,38.978559,-86.271394
