GEOID,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c,year
06099,32.2,505165,252428,13951,196701,118902,51529,159927,101045,58882,159927,321700,2009
06101,34.2,90731,48995,1614,24487,22989,52155,30747,19532,11215,30747,279800,2009
06103,39.3,60601,44737,500,12141,15765,36949,23291,14980,8311,23291,227900,2009
06105,50.4,13922,11922,69,705,3600,35551,5759,4409,1350,5759,255200,2009
06107,29.3,416299,151281,5527,235858,96747,43164,123180,73549,49631,123180,217500,2009
06109,45.9,55761,46080,1282,5536,14197,48354,22117,15478,6639,22117,339300,2009
06111,36.1,792313,411508,13149,295566,190353,74828,257178,173991,83187,257178,593200,2009
06113,29.1,192974,103211,4391,54933,41321,56232,67500,36894,30606,67500,413900,2009
06115,30.8,70906,42914,1450,15929,17485,46410,24212,14243,9969,24212,242900,2009
08001,32,419439,236775,12319,146158,102948,55258,145749,100881,44868,145749,198600,2009
08003,31.5,15353,7790,60,6731,3725,32362,5809,3396,2413,5809,135300,2009
08005,35.5,544157,362796,49488,91419,137916,58968,212465,143390,69075,212465,233400,2009
08007,21.7,12225,9940,90,1876,2028,54909,2714,2379,335,2714,297600,2009
08009,47,3847,3362,22,358,1112,33504,1779,1422,357,1779,67300,2009
08011,39.3,6128,3549,336,1936,1432,35647,2027,1345,682,2027,68000,2009
08013,35,295524,236828,2430,38360,68396,65040,115180,75001,40179,115180,350600,2009
08014,35,52882,42555,342,5937,12736,76240,18863,14092,4771,18863,258000,2009
08015,46.3,16870,14663,256,1532,4738,42808,7432,5521,1911,7432,239900,2009
08017,45.3,1622,1498,0,104,403,46313,651,525,126,651,81700,2009
08019,43.9,8886,8079,0,499,2316,62823,4031,3265,766,4031,281900,2009
08021,39.6,8021,3393,23,4469,2275,33141,3094,2355,739,3094,102800,2009
08023,48,3282,1087,12,2046,762,23041,1306,974,332,1306,103000,2009
08025,36.4,6311,4136,504,1503,825,35494,1213,831,382,1213,79600,2009
08027,50,3598,3330,0,158,1189,44713,1821,1322,499,1821,228000,2009
08029,44.5,30353,25361,202,4035,8367,40658,11834,8878,2956,11834,186900,2009
08031,33.3,582447,296051,56316,196824,119559,45438,246770,132793,113977,246770,236700,2009
08033,43.7,1771,1640,0,63,501,41961,674,530,144,674,121100,2009
08035,35.5,269451,231152,3875,19022,73491,99522,93751,78269,15482,93751,339800,2009
08037,32.8,50614,35176,61,14036,10135,69139,16475,10822,5653,16475,490400,2009
08039,42.2,22786,20538,184,1297,6535,74345,8074,7247,827,8074,335500,2009
08041,34.5,586446,431648,34583,78295,149176,56570,221168,148870,72298,221168,211900,2009
08043,42.2,47393,38039,2166,5132,11019,37852,16963,12659,4304,16963,152200,2009
08045,34.5,52878,38780,46,12543,13390,64837,19154,12867,6287,19154,334700,2009
08047,43.1,5177,4697,94,283,1337,55455,2382,1805,577,2382,286700,2009
08049,39.9,13550,12373,48,761,3122,58981,5252,3904,1348,5252,257700,2009
08051,30.4,14924,13424,29,949,2984,44577,5777,3587,2190,5777,320800,2009
08053,34.2,554,526,0,0,117,53750,195,130,65,195,360000,2009
08055,45.7,7713,4446,160,2677,2019,31136,3394,2497,897,3394,119900,2009
08057,50.1,1305,1222,0,60,456,32788,624,453,171,624,144100,2009
08059,39.5,529025,425357,5875,71754,142976,65891,215592,156452,59140,215592,257800,2009
08061,49.2,1644,1553,0,49,507,42422,744,502,242,744,68800,2009
08063,39.3,8072,6120,217,1501,1980,40754,2978,2028,950,2978,97500,2009
08065,34.4,8025,4440,16,3374,1722,39147,3007,1895,1112,3007,171600,2009
08067,37.3,49678,40113,316,5446,13276,53713,21068,14338,6730,21068,329100,2009
08069,34.7,286978,244722,1996,28282,72011,54755,114856,77461,37395,114856,243300,2009
08071,43.1,15814,8753,95,6367,4107,37587,6405,4564,1841,6405,131200,2009
08073,42.6,5285,4244,299,567,1352,39572,2007,1375,632,2007,103300,2009
08075,38.2,20828,16884,492,2904,5454,39992,8066,5490,2576,8066,116800,2009
08077,38.1,137879,116441,812,16450,36881,50611,54811,39539,15272,54811,209400,2009
08079,59,1077,1040,0,13,341,52153,469,406,63,469,230400,2009
08081,36.2,13555,11198,0,1921,3730,53723,5375,3991,1384,5375,163900,2009
08083,41.4,25000,18796,0,2435,7170,43697,10114,7311,2803,10114,183500,2009
08085,41.3,39303,31229,126,6843,10362,44922,15640,11875,3765,15640,188600,2009
08087,36.1,27630,17694,174,9266,7048,43317,10149,7034,3115,10149,135800,2009
08089,41.3,18833,10818,85,7341,5236,32149,7747,5129,2618,7747,90300,2009
08091,45.8,4519,4178,0,271,1261,58836,1686,1206,480,1686,394900,2009
08093,44.1,16788,15313,77,939,4621,60186,6989,5997,992,6989,241300,2009
08095,40.7,4479,3382,9,1017,1149,39830,1862,1376,486,1862,96800,2009
08097,41.9,15314,13547,8,1296,3671,62318,7152,4284,2868,7152,717700,2009
08099,35.5,13206,7862,44,4982,3404,35166,5043,3440,1603,5043,76300,2009
08101,38,153814,86448,2354,60305,40157,40805,59807,41846,17961,59807,138100,2009
08103,37.2,6183,5510,3,477,1731,54812,2626,1986,640,2626,186300,2009
08105,40.3,11743,6997,23,4478,2488,39683,3660,2869,791,3660,130100,2009
08107,37.3,22356,20817,107,954,6131,64046,9732,7189,2543,9732,417100,2009
08109,38.1,6929,3468,7,3267,1711,29523,2663,1846,817,2663,112300,2009
08111,45.5,686,591,0,71,144,44336,359,196,163,359,290500,2009
08113,36.9,7385,6515,0,680,1660,60457,3053,1894,1159,3053,500800,2009
08115,48.9,2378,2108,0,215,619,37792,941,683,258,941,81900,2009
08117,33,26246,21674,153,3642,5566,67329,9858,6670,3188,9858,450700,2009
08119,45.7,21554,19471,69,1067,6514,56686,8787,7606,1181,8787,224800,2009
