DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county
PA011000001,PA,42,18017,74,2018-08-08,0,2018,40.6299505,-75.3500985,12493.577035,420950105002009,420950105002,42095
PA013000003,PA,42,16510,76,2018-07-12,0,2018,42.13873675,-80.020131,639.274138,420490015001004,420490015001,42049
UT015000001,UT,49,84523,61,2018-07-17,0,2018,39.14624725,-111.13774599999999,95373.438275,490159765002008,490159765002,49015
PA023000011,PA,42,19013,79,2018-08-15,0,2018,39.8450786,-75.3904022,3034.5759562,420454064021006,420454064021,42045
VT003000001,VT,50,05701,93,2018-07-30,0,2018,43.606098,-72.97468833333333,604.6419354666666,500219631003018,500219631003,50021
NJ043000001,NJ,34,08820,59,2018-07-16,0,2018,40.59394575,-74.36384425,5832.78944725,340230014131002,340230014131,34023
DC001002130,DC,11,20019,32,2018-10-15,0,2018,38.893975000000005,-76.92935533333333,9823.672574333334,110010078042007,110010078042,11001
NJ043000002,NJ,34,08837,80,2018-07-09,0,2018,40.5230205,-74.35217525,9822.77123275,340230018052002,340230018052,34023
CO001000007,CO,08,80211,86,2018-07-10,0,2018,39.77969675,-105.003267,177071.63015,080310002021006,080310002021,08031
GA101000003,GA,13,31794,86,2018-10-01,0,2018,31.464845,-83.502993,30964.6548,132779604021001,132779604021,13277
DC001002230,DC,11,20019,29,2018-10-17,0,2018,38.887754,-76.953823,7608.794096,110010077034000,110010077034,11001
CO002000300,CO,08,81001,81,2018-07-24,0,2018,38.275653500000004,-104.597861,153503.39725,081010008003013,081010008003,08101
FL119000001,FL,12,33432,60,2018-07-10,0,2018,26.363238666666664,-80.08551533333333,102356.98526666667,120990075011006,120990075011,12099
CO001000006,CO,08,80204,83,2018-07-31,0,2018,39.737012,-105.0328495,181070.76004999998,080310007053000,080310007053,08031
MA002000114,MA,25,02120,55,2018-07-30,0,2018,42.3351964,-71.0927174,96565.571524,250250808011001,250250808011,25025
GA120000001,GA,13,30436,99,2018-07-30,0,2018,32.20287825,-82.33393025000001,1713.6701117500002,132799702012074,132799702012,13279
