"","year","tract","INSPECTION_SCORE","in_floodplain","age_t","total_pop_t","total_white_t","total_black_t","total_hispanic_t","poverty_t","income_t","public_assistance_t","owner_t","renter_t","vehicles_t","prop_value_t","area_t","pop_density_t","cf_riskscore_t","rf_riskscore_t","cf_riskscore_t2","rf_riskscore_t2","per_capita_income_t","yrPolicyCount_t","yrPaidOnBuildingClaim_t","yrPaidOnContentClaim_t","yrClaim_t","totPolicyCount_t","totPaidOnBuildingClaim_t","totPaidOnContentClaim_t","totClaim_t","unit_t","county","urbanrural"
"108",2013,5095950100,87,0,43.3,3716,1630,1975,34,1016,23470,1523,889,634,1523,49700,271.285019,13.69777076,0,98.7843247,0,98.83020839,14475,0,0,0,0,11,117201.24,3247.53,11,1923,5095,2
"109",2013,5097953000,98,0,50.9,3496,3274,27,48,1015,36570,1499,1208,291,1499,89200,387.911387,9.012367559,0,88.45156423,0,88.23610271,20828,0,0,0,0,0,0,0,0,2583,5097,2
"110",2013,5099090200,80,0,38.7,5158,3015,1825,201,1306,29732,2039,1342,697,2039,66100,370.412978,13.92499806,0,83.27317636,0,82.92324188,18618,0,0,0,0,0,0,0,0,2396,5099,2
"111",2013,5103950400,76,0,42.7,3531,1427,2048,24,884,31723,1603,855,748,1603,90200,8.933152,395.2692174,0,66.07644009,0,65.17842415,19979,0,0,0,0,0,0,0,0,1979,5103,2
"112",2013,5103950600,78,0,45.9,3971,1032,2690,176,896,26579,1749,927,822,1749,45100,36.212479,109.6583308,0,82.75341293,0,82.37477319,16220,0,0,0,0,0,0,0,0,2148,5103,2
"113",2013,5107480100,81,0,35.4,3066,1559,1479,19,751,28321,1179,609,570,1179,97800,96.874572,31.64917209,0,90.96943643,0,90.79287403,22185,0,0,0,0,1,8319.72,1296.88,1,1543,5107,2
"114",2013,5109953500,88,0,42.5,4337,3752,312,171,1207,34925,1782,1337,445,1782,69900,561.875126,7.718796934,0,82.65264891,0,82.46962116,21456,0,0,0,0,0,0,0,0,2249,5109,2
"115",2013,5111490700,84,0,42,2483,1699,673,78,645,29570,1029,549,480,1029,71500,22.303611,111.3272645,0,84.38733768,0,84.0614175,20115,1,9126.04,0,1,4,62132.9,10934.2,4,1205,5111,2
"116",2013,5115951400,77,0,21.6,4642,3951,298,246,616,27083,1094,327,767,1094,93400,14.879247,311.9781532,0,94.84255339,0,94.77786331,13191,1,1540.89,0,1,3,33731.08,0,3,1252,5115,2
"117",2013,5119001100,71,0,46.8,2258,89,2083,0,522,29795,943,441,502,943,70400,2.893231,780.4423497,0,37.75626695,0,36.75427503,16703,0,0,0,0,0,0,0,0,1298,5119,1
"118",2013,5119002800,92,0,29.3,2497,10,2394,0,586,14209,1118,336,782,1118,48200,9.606124,259.9383477,0,94.45131523,0,94.3751031,9511,0,0,0,0,7,108036.45,6170.02,7,1199,5119,1
"119",2013,5119003002,82,0,27.1,3772,945,2662,115,735,23263,1358,330,1028,1358,86900,2.239168,1684.554263,0,0,0,0,11806,0,0,0,0,0,0,0,0,1634,5119,1
"120",2013,5119004001,97,0,39.3,2777,387,2303,55,680,31268,1018,643,375,1018,69800,36.521875,76.03662189,0,84.32416985,0,84.02980151,15236,1,27444.39,2017.77,1,1,27444.39,2017.77,1,1173,5119,1
"121",2013,5121960302,97,0,39.2,3409,3307,12,79,900,29237,1476,857,619,1476,68700,33.133093,102.8880702,0,98.112092,0,98.22400616,16886,0,0,0,0,65,3341256.34,427349.05,65,1618,5121,2
"122",2013,5123960400,97,0,29.7,4482,735,3649,38,1133,23669,1672,585,1087,1672,62900,23.32231,192.176504,0,75.30630817,0,74.76356738,14993,0,0,0,0,0,0,0,0,1906,5123,2
